Rank,Team,2023,Last 3,Last 1,Home,Away,2022
1,TOR,68.0,68.0,61.0,68.0,--,81.5
2,IND,70.0,70.0,68.0,--,70.0,75.8
2,SAC,70.0,70.0,70.0,70.0,--,77.5
4,BOS,71.0,71.0,81.0,61.0,81.0,74.2
5,ORL,72.0,72.0,69.0,69.0,75.0,71.9
6,GSW,74.0,74.0,78.0,--,74.0,77.3
7,CHA,74.5,74.5,73.0,--,74.5,80.9
8,LAL,75.0,75.0,75.0,75.0,--,79.1
9,MIN,75.5,75.5,73.0,--,75.5,73.2
10,DET,76.5,76.5,73.0,80.0,73.0,78.5
10,CLE,76.5,76.5,75.0,75.0,78.0,75.7
10,NYK,76.5,76.5,74.0,74.0,79.0,74.1
13,LAC,77.0,77.0,77.0,77.0,--,76.2
14,ATL,79.0,79.0,86.0,79.0,--,80.0
15,MIL,79.5,79.5,82.0,82.0,77.0,78.4
16,WAS,80.0,80.0,80.0,80.0,--,85.9
17,CHI,81.0,81.0,80.0,--,81.0,79.1
18,PHX,81.5,81.5,80.0,--,81.5,75.8
19,BKN,82.0,82.0,79.0,--,82.0,77.8
19,NOP,82.0,82.0,85.0,79.0,85.0,76.5
21,DEN,83.0,83.0,83.0,83.0,--,75.0
21,HOU,83.0,83.0,82.0,83.0,--,77.9
23,SAS,84.0,84.0,84.0,--,84.0,81.3
24,PHI,85.0,85.0,91.0,79.0,91.0,78.6
25,UTA,89.0,89.0,101.0,89.0,--,79.7
26,MEM,90.0,90.0,95.0,--,90.0,80.3
27,DAL,91.0,91.0,91.0,91.0,--,79.1
28,POR,92.5,92.5,83.0,92.5,--,79.3
29,MIA,95.0,95.0,95.0,95.0,--,76.7
30,OKC,98.0,98.0,98.0,--,98.0,79.5
