Rank,Team,2023,Last 3,Last 1,Home,Away,2022
1,MEM,181.5,178.3,183.0,183.9,178.8,157.3
2,DEN,174.4,184.7,189.0,173.0,175.6,165.0
3,BOS,173.7,182.0,182.0,171.6,176.5,171.5
4,CLE,173.0,181.3,176.0,173.9,171.9,161.2
5,ATL,172.9,182.3,184.0,172.6,173.1,170.7
6,HOU,172.1,171.7,158.0,173.8,170.4,168.5
7,CHI,170.3,182.0,192.0,166.4,173.9,163.7
8,DAL,169.6,152.7,141.0,168.6,170.4,166.5
9,NYK,168.8,180.3,187.0,171.2,167.1,166.1
10,GSW,168.3,159.3,162.0,167.7,168.8,172.3
11,SAC,166.9,170.7,179.0,165.9,168.2,168.5
12,TOR,165.8,154.7,123.0,169.1,162.3,162.8
13,OKC,165.7,167.0,160.0,166.5,164.9,167.7
14,DET,164.8,164.3,168.0,164.9,164.7,160.8
15,SAS,164.5,165.0,186.0,168.4,159.4,163.7
16,UTA,164.4,168.0,162.0,161.8,166.5,169.4
17,MIL,163.9,164.3,176.0,166.9,161.2,170.2
18,IND,163.9,169.0,175.0,166.8,161.8,170.7
19,PHX,163.0,157.7,167.0,164.4,161.1,167.1
20,MIA,162.8,149.7,162.0,165.6,160.4,158.5
21,LAL,161.3,165.7,162.0,164.5,158.5,168.6
22,WAS,161.0,170.3,161.0,163.8,157.4,162.2
23,LAC,160.5,151.3,134.0,160.8,160.1,164.7
24,MIN,160.2,164.3,151.0,160.7,159.8,163.4
25,CHA,160.0,160.3,169.0,158.2,162.3,153.9
26,POR,159.4,165.7,145.0,162.8,156.1,157.9
27,NOP,158.0,165.3,153.0,161.8,153.5,165.1
28,ORL,156.7,139.0,153.0,158.7,154.8,161.2
29,PHI,156.0,162.7,167.0,155.4,156.6,164.6
30,BKN,154.9,149.3,150.0,152.2,156.9,162.5
