Rank,Team,2023,Last 3,Last 1,Home,Away,2022
1,DEN,31.1,32.0,39.0,31.1,31.1,28.9
2,MEM,29.4,24.0,23.0,30.2,28.6,24.7
3,CHI,29.1,32.3,34.0,29.6,28.6,25.0
4,CLE,29.1,30.3,34.0,29.4,28.7,27.2
5,TOR,29.0,29.7,27.0,28.5,29.6,28.5
6,ATL,29.0,23.7,28.0,28.7,29.2,26.6
7,SAS,28.6,28.7,37.0,29.3,27.8,29.9
8,GSW,28.6,28.3,26.0,28.7,28.4,29.2
9,IND,28.5,30.3,28.0,28.9,28.2,30.6
10,NYK,27.6,35.0,33.0,28.2,27.1,24.1
11,PHX,27.5,31.3,41.0,27.3,27.7,26.7
12,SAC,27.0,32.7,34.0,26.5,27.5,28.3
13,LAL,26.5,26.0,31.0,27.7,25.3,28.2
14,MIA,26.4,27.7,27.0,28.3,24.7,25.5
15,BOS,25.7,28.3,32.0,26.8,24.6,26.3
16,OKC,25.6,23.7,21.0,26.5,24.9,26.7
17,MIN,25.3,27.3,38.0,26.7,24.1,26.2
17,DET,25.3,22.7,18.0,24.9,25.7,25.5
19,MIL,25.2,27.7,24.0,26.0,24.4,26.2
20,DAL,25.2,29.7,20.0,25.6,24.8,24.7
21,NOP,25.1,22.7,16.0,26.2,23.8,26.7
22,UTA,25.1,26.3,21.0,24.9,25.2,27.2
23,BKN,24.9,23.0,27.0,24.3,25.3,25.6
24,WAS,24.6,19.3,18.0,25.3,24.0,27.9
25,LAC,24.4,24.7,26.0,25.3,23.3,25.2
26,CHA,23.7,20.7,18.0,22.8,24.8,24.8
27,ORL,23.2,22.7,14.0,23.6,22.9,24.2
28,POR,23.1,23.3,23.0,24.6,21.7,23.1
29,PHI,22.6,26.3,29.0,22.7,22.5,24.7
30,HOU,22.4,23.3,22.0,22.4,22.5,24.8
