Rank,Team,2023,Last 3,Last 1,Home,Away,2022
1,DEN,30.9,29.7,21.0,31.1,30.8,28.9
2,MEM,29.6,29.0,21.0,30.5,28.6,24.7
3,TOR,29.1,31.0,31.0,28.5,29.6,28.5
4,CHI,29.0,29.0,28.0,29.6,28.3,25.0
4,ATL,29.0,23.7,19.0,28.7,29.2,26.6
6,CLE,29.0,28.3,29.0,29.2,28.7,27.2
7,GSW,28.6,29.7,30.0,28.8,28.4,29.2
8,IND,28.5,30.3,28.0,28.9,28.2,30.6
9,SAS,28.4,30.7,27.0,29.0,27.8,29.9
10,NYK,27.6,35.0,33.0,28.2,27.1,24.1
11,PHX,27.2,25.3,30.0,27.3,27.0,26.7
12,SAC,27.0,32.7,34.0,26.5,27.5,28.3
13,MIA,26.4,27.7,27.0,28.3,24.7,25.5
14,LAL,26.4,25.3,25.0,27.7,25.1,28.2
15,OKC,25.6,23.7,21.0,26.5,24.9,26.7
16,BOS,25.6,28.7,32.0,26.8,24.3,26.3
17,DET,25.4,24.0,26.0,25.2,25.7,25.5
18,DAL,25.3,29.0,30.0,25.6,25.0,24.7
19,NOP,25.3,24.3,31.0,26.6,23.8,26.7
20,MIL,25.2,27.7,26.0,26.0,24.4,26.2
21,UTA,25.2,28.3,30.0,25.1,25.2,27.2
22,MIN,25.0,27.3,26.0,26.7,23.5,26.2
23,BKN,24.9,23.0,27.0,24.3,25.3,25.6
24,WAS,24.8,22.7,17.0,25.6,24.0,27.9
25,LAC,24.3,22.3,26.0,25.3,23.2,25.2
26,CHA,23.8,24.0,18.0,23.0,24.8,24.8
27,ORL,23.4,23.7,32.0,23.6,23.3,24.2
28,POR,23.1,21.3,26.0,24.7,21.7,23.1
29,HOU,22.5,24.7,19.0,22.4,22.5,24.8
29,PHI,22.5,24.3,30.0,22.4,22.5,24.7
