Rank,Player,Team,Pos,Value
1,Daniel Gafford,Dallas Mavericks,PF,70.8%
2,Grayson Allen,Phoenix Suns,SG,68.4%
3,Onyeka Okongwu,Atlanta Hawks,PF,67.5%
4,Moritz Wagner,Orlando Magic,PF,67.3%
5,Rudy Gobert,Minnesota Timberwolves,C,66.8%
6,Obi Toppin,Indiana Pacers,PF,66.3%
7,Ivica Zubac,Los Angeles Clippers,C,66.2%
8,Jarrett Allen,Cleveland Cavaliers,C,65.7%
9,Giannis Antetokounmpo,Milwaukee Bucks,SF,65.7%
10,Jalen Duren,Detroit Pistons,C,65.5%
11,Kristaps Porzingis,Boston Celtics,PF,65.4%
12,Jakob Poeltl,Toronto Raptors,C,65.3%
13,Kelly Olynyk,Toronto Raptors,PF,64.9%
14,Domantas Sabonis,Sacramento Kings,PF,64.9%
15,Nikola Jokic,Denver Nuggets,C,64.9%
16,Herbert Jones,New Orleans Pelicans,PF,64.8%
17,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,64.7%
18,Joel Embiid,Philadelphia 76ers,C,64.5%
19,Chet Holmgren,Oklahoma City Thunder,C,64.2%
20,Aaron Nesmith,Indiana Pacers,SG,63.8%
21,James Harden,Los Angeles Clippers,SG,63.8%
22,Lauri Markkanen,Utah Jazz,PF,63.4%
23,Nic Claxton,Brooklyn Nets,C,63.3%
24,Jimmy Butler,Miami Heat,PF,63.2%
25,Kevin Durant,Phoenix Suns,SF,63.2%
26,Norman Powell,Los Angeles Clippers,SG,63.1%
27,Harrison Barnes,Sacramento Kings,SF,63.1%
28,Jonas Valanciunas,New Orleans Pelicans,C,63.0%
29,Karl-Anthony Towns,Minnesota Timberwolves,C,62.8%
30,Kawhi Leonard,Los Angeles Clippers,SF,62.8%
31,De'Andre Hunter,Atlanta Hawks,PF,62.6%
32,Jalen Williams,Oklahoma City Thunder,SG,62.5%
33,Luka Doncic,Dallas Mavericks,SF,62.4%
34,Duncan Robinson,Miami Heat,SF,62.2%
35,Austin Reaves,Los Angeles Lakers,PG,62.2%
36,Malik Beasley,Milwaukee Bucks,SG,62.1%
37,Anthony Davis,Los Angeles Lakers,PF,62.0%
38,Myles Turner,Indiana Pacers,C,61.9%
39,Stephen Curry,Golden State Warriors,PG,61.8%
40,Derrick White,Boston Celtics,PG,61.8%
41,Marvin Bagley III,Washington Wizards,PF,61.6%
42,LeBron James,Los Angeles Lakers,SF,61.6%
