Rank,Player,Team,Pos,Value
1,Josh Hart,New York Knicks,SG,37.59
2,Devin Booker,Phoenix Suns,SG,37.27
3,Mikal Bridges,New York Knicks,SG,36.96
4,Nikola Jokic,Denver Nuggets,C,36.94
5,O.G. Anunoby,New York Knicks,SF,36.82
6,Kevin Durant,Phoenix Suns,SF,36.53
7,Jayson Tatum,Boston Celtics,SF,36.49
8,Anthony Edwards,Minnesota Timberwolves,SG,36.38
9,Jamal Murray,Denver Nuggets,SG,36.35
10,Trae Young,Atlanta Hawks,PG,36.19
11,De'Aaron Fox,San Antonio Spurs,PG,36.15
12,Damian Lillard,Milwaukee Bucks,PG,36.09
13,DeMar DeRozan,Sacramento Kings,SG,36.04
14,Jalen Brunson,New York Knicks,PG,35.64
15,Tyler Herro,Miami Heat,SG,35.60
16,James Harden,Los Angeles Clippers,SG,35.42
17,Fred VanVleet,Houston Rockets,PG,35.33
18,Zach LaVine,Sacramento Kings,PG,35.29
19,Cade Cunningham,Detroit Pistons,PG,35.29
20,Karl-Anthony Towns,New York Knicks,C,35.08
21,Austin Reaves,Los Angeles Lakers,PG,35.06
22,LeBron James,Los Angeles Lakers,SF,35.00
23,Domantas Sabonis,Sacramento Kings,PF,34.73
24,Kelly Oubre Jr.,Philadelphia 76ers,SF,34.64
25,Bam Adebayo,Miami Heat,C,34.57
26,Keegan Murray,Sacramento Kings,SF,34.37
27,Giannis Antetokounmpo,Milwaukee Bucks,SF,34.33
28,Jaylen Brown,Boston Celtics,SG,34.31
29,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,34.19
30,Christian Braun,Denver Nuggets,SG,34.05
31,Dyson Daniels,Atlanta Hawks,SG,33.99
32,Derrick White,Boston Celtics,PG,33.95
33,Franz Wagner,Orlando Magic,SF,33.87
34,Michael Porter Jr.,Denver Nuggets,PF,33.61
35,Tyrese Haliburton,Indiana Pacers,PG,33.60
36,Coby White,Chicago Bulls,SG,33.23
37,Bilal Coulibaly,Washington Wizards,SG,33.01
38,Rudy Gobert,Minnesota Timberwolves,C,32.99
39,Ivica Zubac,Los Angeles Clippers,C,32.99
40,Jalen Green,Houston Rockets,SG,32.84
41,Scottie Barnes,Toronto Raptors,SF,32.83
42,Anfernee Simons,Portland Trail Blazers,SG,32.74
43,Pascal Siakam,Indiana Pacers,PF,32.69
44,Toumani Camara,Portland Trail Blazers,PF,32.67
45,Norman Powell,Los Angeles Clippers,SG,32.66
46,Jalen Williams,Oklahoma City Thunder,SG,32.45
47,Stephen Curry,Golden State Warriors,PG,32.44
48,Julius Randle,Minnesota Timberwolves,PF,32.38
49,RJ Barrett,Toronto Raptors,SF,32.22
50,P.J. Washington,Dallas Mavericks,PF,32.18
51,Desmond Bane,Memphis Grizzlies,SG,32.15
52,Amen Thompson,Houston Rockets,SG,32.13
53,Jaden McDaniels,Minnesota Timberwolves,SF,31.98
54,Tobias Harris,Detroit Pistons,SF,31.84
55,Dillon Brooks,Houston Rockets,SG,31.72
56,Miles Bridges,Charlotte Hornets,SF,31.70
57,Rui Hachimura,Los Angeles Lakers,PF,31.68
58,Jimmy Butler III,Golden State Warriors,PF,31.66
59,Alperen Sengun,Houston Rockets,C,31.62
60,Malik Monk,Sacramento Kings,SG,31.60
61,Brook Lopez,Milwaukee Bucks,C,31.57
62,Donovan Mitchell,Cleveland Cavaliers,SG,31.52
63,Keyonte George,Utah Jazz,SG,31.47
64,Nikola Vucevic,Chicago Bulls,C,31.30
65,Shaedon Sharpe,Portland Trail Blazers,SG,31.28
66,Andrew Wiggins,Miami Heat,SF,31.04
67,Devin Vassell,San Antonio Spurs,SG,30.97
68,Jrue Holiday,Boston Celtics,PG,30.71
69,Darius Garland,Cleveland Cavaliers,PG,30.69
70,Evan Mobley,Cleveland Cavaliers,C,30.60
71,Josh Giddey,Chicago Bulls,SG,30.37
72,Myles Turner,Indiana Pacers,C,30.24
73,Jaren Jackson Jr.,Memphis Grizzlies,PF,30.18
74,Deni Avdija,Portland Trail Blazers,SF,30.02
75,Walker Kessler,Utah Jazz,C,30.01
76,Bub Carrington,Washington Wizards,PG,29.97
77,Jabari Smith Jr.,Houston Rockets,PF,29.83
78,Kentavious Caldwell-Pope,Orlando Magic,SG,29.69
79,Kyle Kuzma,Milwaukee Bucks,PF,29.69
80,Bennedict Mathurin,Indiana Pacers,SG,29.62
81,Jordan Poole,Washington Wizards,SG,29.43
82,Draymond Green,Golden State Warriors,PF,29.31
83,Luguentz Dort,Oklahoma City Thunder,SG,29.24
84,Dorian Finney-Smith,Los Angeles Lakers,SF,29.07
85,Andrew Nembhard,Indiana Pacers,PG,29.01
86,Payton Pritchard,Boston Celtics,PG,28.39
87,Onyeka Okongwu,Atlanta Hawks,PF,28.24
88,Dennis Schroder,Detroit Pistons,PG,28.07
89,Jarrett Allen,Cleveland Cavaliers,C,28.06
90,Tim Hardaway Jr.,Detroit Pistons,SG,27.97
91,Naji Marshall,Dallas Mavericks,PF,27.92
92,Chris Paul,San Antonio Spurs,PG,27.91
93,Collin Sexton,Utah Jazz,PG,27.90
94,Malik Beasley,Detroit Pistons,SG,27.89
95,Davion Mitchell,Miami Heat,PG,27.83
96,Josh Green,Charlotte Hornets,SG,27.76
97,Isaiah Hartenstein,Oklahoma City Thunder,C,27.71
98,Al Horford,Boston Celtics,C,27.68
99,Russell Westbrook,Denver Nuggets,PG,27.67
100,Naz Reid,Minnesota Timberwolves,C,27.46
