Rank,Player,Team,Pos,Value
1,Josh Hart,New York Knicks,SG,37.59
2,Devin Booker,Phoenix Suns,SG,37.27
3,Nikola Jokic,Denver Nuggets,C,37.03
4,Mikal Bridges,New York Knicks,SG,36.96
5,O.G. Anunoby,New York Knicks,SF,36.82
6,Jayson Tatum,Boston Celtics,SF,36.53
7,Kevin Durant,Phoenix Suns,SF,36.53
8,Anthony Edwards,Minnesota Timberwolves,SG,36.45
9,Jamal Murray,Denver Nuggets,SG,36.44
10,Trae Young,Atlanta Hawks,PG,36.19
11,De'Aaron Fox,San Antonio Spurs,PG,36.15
12,DeMar DeRozan,Sacramento Kings,SG,36.04
13,Damian Lillard,Milwaukee Bucks,PG,36.01
14,Jalen Brunson,New York Knicks,PG,35.64
15,Tyler Herro,Miami Heat,SG,35.61
16,James Harden,Los Angeles Clippers,SG,35.51
17,Fred VanVleet,Houston Rockets,PG,35.41
18,Zach LaVine,Sacramento Kings,PG,35.29
19,Cade Cunningham,Detroit Pistons,PG,35.29
20,Austin Reaves,Los Angeles Lakers,PG,35.14
21,LeBron James,Los Angeles Lakers,SF,35.09
22,Karl-Anthony Towns,New York Knicks,C,35.08
23,Domantas Sabonis,Sacramento Kings,PF,34.73
24,Bam Adebayo,Miami Heat,C,34.64
25,Kelly Oubre Jr.,Philadelphia 76ers,SF,34.64
26,Keegan Murray,Sacramento Kings,SF,34.37
27,Jaylen Brown,Boston Celtics,SG,34.30
28,Giannis Antetokounmpo,Milwaukee Bucks,SF,34.30
29,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,34.24
30,Christian Braun,Denver Nuggets,SG,34.17
31,Derrick White,Boston Celtics,PG,34.02
32,Dyson Daniels,Atlanta Hawks,SG,33.99
33,Franz Wagner,Orlando Magic,SF,33.93
34,Michael Porter Jr.,Denver Nuggets,PF,33.71
35,Tyrese Haliburton,Indiana Pacers,PG,33.57
36,Coby White,Chicago Bulls,SG,33.23
37,Ivica Zubac,Los Angeles Clippers,C,33.08
38,Bilal Coulibaly,Washington Wizards,SG,33.01
39,Jalen Green,Houston Rockets,SG,32.91
40,Rudy Gobert,Minnesota Timberwolves,C,32.89
41,Scottie Barnes,Toronto Raptors,SF,32.83
42,Anfernee Simons,Portland Trail Blazers,SG,32.74
43,Norman Powell,Los Angeles Clippers,SG,32.70
44,Pascal Siakam,Indiana Pacers,PF,32.67
45,Toumani Camara,Portland Trail Blazers,PF,32.67
46,Stephen Curry,Golden State Warriors,PG,32.55
47,Jalen Williams,Oklahoma City Thunder,SG,32.52
48,Julius Randle,Minnesota Timberwolves,PF,32.50
49,Desmond Bane,Memphis Grizzlies,SG,32.22
50,RJ Barrett,Toronto Raptors,SF,32.22
51,Amen Thompson,Houston Rockets,SG,32.20
52,P.J. Washington,Dallas Mavericks,PF,32.18
53,Jaden McDaniels,Minnesota Timberwolves,SF,32.05
54,Tobias Harris,Detroit Pistons,SF,31.84
55,Rui Hachimura,Los Angeles Lakers,PF,31.78
56,Miles Bridges,Charlotte Hornets,SF,31.70
57,Dillon Brooks,Houston Rockets,SG,31.67
58,Jimmy Butler III,Golden State Warriors,PF,31.66
59,Alperen Sengun,Houston Rockets,C,31.64
60,Malik Monk,Sacramento Kings,SG,31.60
61,Donovan Mitchell,Cleveland Cavaliers,SG,31.50
62,Keyonte George,Utah Jazz,SG,31.47
63,Brook Lopez,Milwaukee Bucks,C,31.37
64,Nikola Vucevic,Chicago Bulls,C,31.30
65,Shaedon Sharpe,Portland Trail Blazers,SG,31.28
66,Andrew Wiggins,Miami Heat,SF,31.08
67,Devin Vassell,San Antonio Spurs,SG,30.97
68,Jrue Holiday,Boston Celtics,PG,30.71
69,Darius Garland,Cleveland Cavaliers,PG,30.69
70,Evan Mobley,Cleveland Cavaliers,C,30.62
71,Josh Giddey,Chicago Bulls,SG,30.37
72,Jaren Jackson Jr.,Memphis Grizzlies,PF,30.24
73,Myles Turner,Indiana Pacers,C,30.16
74,Deni Avdija,Portland Trail Blazers,SF,30.02
75,Walker Kessler,Utah Jazz,C,30.01
76,Bub Carrington,Washington Wizards,PG,29.97
77,Jabari Smith Jr.,Houston Rockets,PF,29.76
78,Kentavious Caldwell-Pope,Orlando Magic,SG,29.71
79,Kyle Kuzma,Milwaukee Bucks,PF,29.55
80,Jordan Poole,Washington Wizards,SG,29.43
81,Bennedict Mathurin,Indiana Pacers,SG,29.40
82,Draymond Green,Golden State Warriors,PF,29.38
83,Luguentz Dort,Oklahoma City Thunder,SG,29.23
84,Dorian Finney-Smith,Los Angeles Lakers,SF,29.07
85,Andrew Nembhard,Indiana Pacers,PG,29.02
86,Payton Pritchard,Boston Celtics,PG,28.36
87,Onyeka Okongwu,Atlanta Hawks,PF,28.24
88,Dennis Schroder,Detroit Pistons,PG,28.07
89,Jarrett Allen,Cleveland Cavaliers,C,28.03
90,Tim Hardaway Jr.,Detroit Pistons,SG,27.97
91,Davion Mitchell,Miami Heat,PG,27.94
92,Naji Marshall,Dallas Mavericks,PF,27.92
93,Chris Paul,San Antonio Spurs,PG,27.91
94,Collin Sexton,Utah Jazz,PG,27.90
95,Malik Beasley,Detroit Pistons,SG,27.89
96,Al Horford,Boston Celtics,C,27.79
97,Josh Green,Charlotte Hornets,SG,27.76
98,Isaiah Hartenstein,Oklahoma City Thunder,C,27.67
99,Russell Westbrook,Denver Nuggets,PG,27.67
100,Naz Reid,Minnesota Timberwolves,C,27.46
